Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA,AutoEncoder,CD,COPOD,DIF,ECOD,GMM,KDE,LODA,QMCD,Sampling,SOS,ALAD,AnoGAN ,INNE,KPCA,LMDD,LOCI,LSCP,LUNAR,MO_GAAL,RGraph,SO_GAAL,SOD,VAE
arrhythmia,452,274,14.6018,0.31820000000000004,0.2599,0.30584,0.23552,0.18368999999999996,0.06408,0.03366,0.61383,0.026140000000000004,0.048650000000000006,0.8323699999999998,13.653220000000001,0.04838,3.06477,0.03376,0.02805,0.15435,0.031089999999999996,0.13526999999999997,0.0054199999999999995,0.35275000000000006,0.0,0.0,0.30619999999999997,0.17789000000000002,5.1992199999999995,0.0,2.35772,2.1649299999999996,0.0,0.0,0.61563,0.0,0.0
cardio,1831,21,9.6122,0.31461,0.11735,0.62836,0.007650000000000001,0.18827000000000002,0.13421,0.07481,0.6082199999999999,0.18941000000000002,0.010650000000000001,1.47038,0.09552000000000001,0.014300000000000002,4.96863,0.0098,0.01439,0.27247999999999994,0.01861,0.007970000000000001,0.0013000000000000002,0.97203,0.0,0.0,0.28725999999999996,0.7540800000000001,6.59473,0.0,1.87899,3.9832799999999997,0.0,0.0,0.5403800000000001,0.0,0.0
glass,214,9,4.2056,0.024869999999999996,0.04456,0.022549999999999997,0.0020900000000000003,0.13443,0.007299999999999999,0.0015699999999999998,0.030350000000000005,0.00421,0.00264,0.14056,0.01591,0.0013000000000000002,1.0745599999999997,0.0028699999999999997,0.00916,0.0033599999999999997,0.012919999999999997,0.00304,0.00045000000000000004,0.08373,0.0,0.0,0.15284000000000003,0.054990000000000004,0.1833,0.0,1.36264,0.90876,0.0,0.0,0.01907,0.0,0.0
ionosphere,351,33,35.8974,0.047319999999999994,0.04736,0.13965,0.008340000000000002,0.14145000000000002,0.02024,0.01557,0.05824,0.0030800000000000003,0.0064399999999999995,0.21570999999999999,0.09495999999999999,0.00704,1.3229099999999998,0.00402,0.008249999999999999,0.014420000000000002,0.01608,0.0034200000000000003,0.00176,0.12390999999999999,0.0,0.0,0.15039000000000002,0.09033000000000001,0.49989,0.0,1.5945900000000004,0.9853,0.0,0.0,0.04135,0.0,0.0
letter,1600,32,6.25,0.23209000000000005,0.09280999999999999,0.46482,0.00772,0.16869,0.10313000000000001,0.04869,0.88361,0.12648,0.004919999999999999,1.0164699999999998,0.1498,0.012469999999999998,3.9217600000000004,0.009430000000000003,0.010849999999999999,0.19678999999999996,0.014870000000000003,0.005599999999999999,0.00182,0.71401,0.0,0.0,0.23746,0.56189,5.96474,0.0,1.6042199999999998,2.1431400000000003,0.0,0.0,0.31765,0.0,0.0
lympho,148,18,4.0541,0.02346,0.05297999999999999,0.08566,0.00393,0.15733999999999998,0.014480000000000002,0.0157,0.027649999999999997,0.0027800000000000004,0.0016099999999999999,0.08073,0.037849999999999995,0.0028,1.0747399999999998,0.00201,0.007220000000000002,0.00231,0.014500000000000002,0.00241,0.0009400000000000002,0.049249999999999995,0.0,0.0,0.12711,0.045810000000000003,0.14997,0.0,1.4494700000000003,0.97508,0.0,0.0,0.02331,0.0,0.0
mnist,7603,100,9.2069,2.2687599999999994,0.19322,1.0294,0.03998999999999999,0.24551000000000003,1.4992299999999998,0.10895999999999999,1.8090899999999999,2.45876,0.08603,4.473,5.933580000000001,0.22215999999999997,18.388,0.17973,0.04402,9.38253,0.04539,0.15308000000000002,0.020179999999999997,12.552069999999999,0.0,0.0,0.64871,10.72703,560.6547499999999,0.0,2.50349,13.93119,0.0,0.0,3.72992,0.0,0.0
musk,3062,166,3.1679,0.8462400000000001,0.08602,0.32238,0.04577,0.18275999999999998,0.48631,0.03413000000000001,7.050030000000001,0.53218,0.08506000000000001,1.9520699999999997,10.783889999999998,0.1885,8.98375,0.1612,0.033990000000000006,2.1968300000000003,0.030440000000000005,0.04693,0.012129999999999998,1.5779999999999998,0.0,0.0,0.42153999999999997,1.3845500000000002,147.34777000000003,0.0,1.64895,5.05995,0.0,0.0,0.88011,0.0,0.0
optdigits,5216,64,2.8758,1.0031,0.09761,0.48681,0.024919999999999998,0.20451999999999998,0.5098,0.05111000000000001,0.81193,0.9459299999999999,0.025780000000000004,2.8905000000000003,1.68505,0.0992,12.694840000000001,0.07880000000000001,0.02191,2.62525,0.034530000000000005,0.04548000000000001,0.0075899999999999995,3.69094,0.0,0.0,0.41977000000000003,3.8527500000000003,133.81434000000004,0.0,1.9830100000000002,8.7597,0.0,0.0,1.9814899999999998,0.0,0.0
pendigits,6870,16,2.2707,0.8233499999999999,0.07842000000000002,1.8999700000000002,0.005609999999999999,0.19516,0.33601000000000003,0.05915,1.4272699999999998,1.43143,0.005689999999999999,3.7994,0.08188000000000001,0.03418,12.09118,0.029769999999999998,0.007340000000000001,2.55307,0.04142999999999999,0.02606,0.00355,5.95008,0.0,0.0,0.4222499999999999,6.962090000000001,47.74217,0.0,2.20942,10.98132,0.0,0.0,3.1684200000000002,0.0,0.0
pima,768,8,34.8958,0.07622999999999999,0.06196999999999999,0.05743,0.0014100000000000002,0.11972000000000001,0.0236,0.006209999999999999,0.03473,0.020509999999999997,0.0017000000000000001,0.44067999999999996,0.014779999999999998,0.0030999999999999995,1.57154,0.0028199999999999996,0.0063100000000000005,0.018969999999999997,0.011909999999999999,0.0024000000000000002,0.0009000000000000001,0.25434,0.0,0.0,0.13876000000000002,0.17934999999999998,0.6935499999999999,0.0,1.34981,1.06696,0.0,0.0,0.07937999999999999,0.0,0.0
satellite,6435,36,31.6395,0.7865300000000001,0.09456999999999999,0.46204999999999996,0.012839999999999999,0.18869,0.34591000000000005,0.04676000000000001,1.39403,1.2438099999999999,0.012400000000000001,3.54019,0.4687900000000001,0.06870000000000001,12.572750000000001,0.06,0.015229999999999999,3.6148200000000004,0.03659,0.049640000000000004,0.00447,5.21745,0.0,0.0,0.40892999999999996,5.6122,90.88932,0.0,2.2611699999999995,8.957080000000001,0.0,0.0,2.62999,0.0,0.0
satimage-2,5803,36,1.2235,0.76887,0.09681999999999999,0.43913,0.010920000000000001,0.18911,0.33913000000000004,0.04688,1.27061,1.08133,0.01404,3.0478000000000005,0.35014,0.057830000000000006,12.320739999999999,0.05005,0.010920000000000001,2.1873199999999997,0.03438000000000001,0.0406,0.00156,4.3859200000000005,0.0,0.0,0.39217,4.53683,71.05327000000001,0.0,2.1621599999999996,7.891890000000001,0.0,0.0,2.50321,0.0,0.0
shuttle,49097,9,7.1511,7.93664,0.24384999999999998,33.26488,0.02137,0.6471600000000001,4.61522,5.93671,9.343160000000001,72.80179000000001,0.08203,25.84825,0.29051,0.14972000000000002,72.85833,0.11879000000000002,0.07862,83.00687,0.14443,1.11758,0.02566,525.14563,0.0,0.0,3.0771800000000002,1582.04833,1877.8344999999997,0.0,15.564060000000001,95.28954000000002,0.0,0.0,146.34187000000003,0.0,0.0
vertebral,240,6,12.5,0.022510000000000002,0.05627,0.020979999999999995,0.00156,0.11561000000000002,0.005560000000000001,0.0,0.02819,0.00412,0.001,0.14446,0.01036,0.001,1.01601,0.0015699999999999998,0.00312,0.00467,0.00781,0.00312,0.0,0.08746000000000001,0.0,0.0,0.12658999999999998,0.05305,0.16568,0.0,1.2444700000000002,1.0533,0.0,0.0,0.020450000000000003,0.0,0.0
vowels,1456,12,3.4341,0.16092999999999996,0.08804999999999999,0.15811999999999998,0.00401,0.13648,0.054669999999999996,0.01756,0.4613499999999999,0.06825,0.00826,0.8227399999999999,0.028999999999999998,0.00712,2.93174,0.00156,0.01297,0.09795000000000001,0.01717,0.00156,0.0,0.52973,0.0,0.0,0.15471000000000001,0.38917,2.2810999999999995,0.0,1.43925,2.04741,0.0,0.0,0.21803,0.0,0.0
wbc,378,30,5.5556,0.051019999999999996,0.05062,0.12108,0.005560000000000001,0.12217,0.02491,0.01545,0.059550000000000006,0.011170000000000001,0.0036999999999999997,0.23399999999999999,0.07480000000000002,0.002,1.19351,0.00312,0.010780000000000001,0.00826,0.013920000000000002,0.0007599999999999999,0.00165,0.11419000000000001,0.0,0.0,0.1423,0.09218000000000001,0.46719,0.0,1.58276,0.9742400000000002,0.0,0.0,0.048589999999999994,0.0,0.0
